Input velocities or energy: 
Starting time t0, initial position (r0, phi0), initial specific energy and ang. momentum (E, L), and final t point t1: 
Read: t0 = 0 r0 = 10 phi0 = -0.75 E_ini = 0 L_ini = 1 sign of radial velocity = -1 t1 = 100
Calculated vr0 and vphi0: t0=0 r0=10 phi0=-0.75 vr0=-0.43589 vphi0=0.01 t1=100
Number of time steps n = 10001
Initial energy, angular momentum, and eccentricity are E_ini = -1.38778e-17, L_ini = 1, and eccen_ini = 1 
t 	 r 	 phi 	 vr 	 vphi 	 x(t) 	 y(t) 	 E(t) 	 L(t) 	 (E_ini - E(t)) / E_ini 	 (L_ini - L(t)) / L_ini 	 (eccen_ini - eccen_t) / eccen_ini 
------------
0.000000000000000e+00 	 1.000000000000000e+01 	 -7.500000000000000e-01 	 -4.358898943540673e-01 	 1.000000000000000e-02 	 7.316888688738209e+00 	 -6.816387600233341e+00 	 -1.387778780781446e-17 	 1.000000000000000e+00 	 0.000000000000000e+00 	 0.000000000000000e+00 	 0.000000000000000e+00 
1.000000000000000e-02 	 9.995640650932913e+00 	 -7.498999563889988e-01 	 -4.359799314224674e-01 	 1.000872440262706e-02 	 7.314380603698543e+00 	 -6.812684375987272e+00 	 -1.387778780781446e-17 	 9.999999999999999e-01 	 0.000000000000000e+00 	 1.110223024625157e-16 	 0.000000000000000e+00 
2.000000000000000e-02 	 9.991280401124191e+00 	 -7.497998254678526e-01 	 -4.360700426987770e-01 	 1.001746203372045e-02 	 7.311871786263310e+00 	 -6.808980469580962e+00 	 0.000000000000000e+00 	 9.999999999999999e-01 	 0.000000000000000e+00 	 1.110223024625157e-16 	 0.000000000000000e+00 
3.000000000000000e-02 	 9.986919249831223e+00 	 -7.496996071041343e-01 	 -4.361602282898240e-01 	 1.002621292181947e-02 	 7.309362235724765e+00 	 -6.805275880492289e+00 	 0.000000000000000e+00 	 1.000000000000000e+00 	 0.000000000000000e+00 	 -2.220446049250313e-16 	 0.000000000000000e+00 
4.000000000000000e-02 	 9.982557196310323e+00 	 -7.495993011651307e-01 	 -4.362504883026557e-01 	 1.003497709554324e-02 	 7.306851951374021e+00 	 -6.801570608198422e+00 	 0.000000000000000e+00 	 1.000000000000000e+00 	 0.000000000000000e+00 	 0.000000000000000e+00 	 0.000000000000000e+00 
5.000000000000000e-02 	 9.978194239816739e+00 	 -7.494989075178423e-01 	 -4.363408228445393e-01 	 1.004375458359096e-02 	 7.304340932501050e+00 	 -6.797864652175831e+00 	 0.000000000000000e+00 	 1.000000000000000e+00 	 0.000000000000000e+00 	 0.000000000000000e+00 	 0.000000000000000e+00 
6.000000000000000e-02 	 9.973830379604644e+00 	 -7.493984260289819e-01 	 -4.364312320229625e-01 	 1.005254541474225e-02 	 7.301829178394675e+00 	 -6.794158011900272e+00 	 0.000000000000000e+00 	 1.000000000000000e+00 	 0.000000000000000e+00 	 0.000000000000000e+00 	 0.000000000000000e+00 
7.000000000000001e-02 	 9.969465614927133e+00 	 -7.492978565649743e-01 	 -4.365217159456342e-01 	 1.006134961785736e-02 	 7.299316688342566e+00 	 -6.790450686846798e+00 	 -1.387778780781446e-17 	 1.000000000000000e+00 	 0.000000000000000e+00 	 -2.220446049250313e-16 	 0.000000000000000e+00 
8.000000000000000e-02 	 9.965099945036224e+00 	 -7.491971989919551e-01 	 -4.366122747204847e-01 	 1.007016722187747e-02 	 7.296803461631246e+00 	 -6.786742676489747e+00 	 -1.387778780781446e-17 	 1.000000000000000e+00 	 0.000000000000000e+00 	 0.000000000000000e+00 	 0.000000000000000e+00 
9.000000000000000e-02 	 9.960733369182854e+00 	 -7.490964531757703e-01 	 -4.367029084556668e-01 	 1.007899825582499e-02 	 7.294289497546082e+00 	 -6.783033980302750e+00 	 -2.775557561562891e-17 	 1.000000000000000e+00 	 0.000000000000000e+00 	 0.000000000000000e+00 	 0.000000000000000e+00 
1.000000000000000e-01 	 9.956365886616881e+00 	 -7.489956189819752e-01 	 -4.367936172595562e-01 	 1.008784274880382e-02 	 7.291774795371279e+00 	 -6.779324597758724e+00 	 -2.775557561562891e-17 	 1.000000000000000e+00 	 0.000000000000000e+00 	 -2.220446049250313e-16 	 1.110223024625157e-16 
1.100000000000000e-01 	 9.951997496587072e+00 	 -7.488946962758335e-01 	 -4.368844012407519e-01 	 1.009670072999961e-02 	 7.289259354389889e+00 	 -6.775614528329872e+00 	 -1.387778780781446e-17 	 1.000000000000000e+00 	 0.000000000000000e+00 	 -2.220446049250313e-16 	 0.000000000000000e+00 
1.200000000000000e-01 	 9.947628198341112e+00 	 -7.487936849223169e-01 	 -4.369752605080769e-01 	 1.010557222868009e-02 	 7.286743173883797e+00 	 -6.771903771487686e+00 	 -2.775557561562891e-17 	 1.000000000000000e+00 	 0.000000000000000e+00 	 0.000000000000000e+00 	 0.000000000000000e+00 
