n=63
x	y	dy_dt	y_soln	rel. err. of y[i]/y_soln-1
------------
0	1	0	1	0
0.1	0.980067	-0.397333	0.980067	9.0632e-08
0.2	0.921062	-0.778826	0.921061	1.33831e-06
0.3	0.825339	-1.12927	0.825336	4.06841e-06
0.4	0.696713	-1.43469	0.696707	9.05736e-06
0.5	0.540312	-1.68292	0.540302	1.82583e-05
0.6	0.362371	-1.86406	0.362358	3.79145e-05
0.7	0.169985	-1.97089	0.169967	0.000103589
0.8	-0.0291784	-1.99914	-0.0291995	-0.000723424
0.9	-0.227178	-1.9477	-0.227202	-0.000105384
1	-0.416121	-1.81861	-0.416147	-6.18598e-05
1.1	-0.588475	-1.61702	-0.588501	-4.45893e-05
1.2	-0.737368	-1.35097	-0.737394	-3.42018e-05
1.3	-0.856866	-1.03106	-0.856889	-2.63075e-05
1.4	-0.942204	-0.670042	-0.942222	-1.92757e-05
1.5	-0.98998	-0.282316	-0.989992	-1.22547e-05
1.6	-0.99829	0.116663	-0.998295	-4.6171e-06
1.7	-0.966802	0.510992	-0.966798	4.2928e-06
1.8	-0.896772	0.884949	-0.896758	1.53876e-05
1.9	-0.790992	1.22363	-0.790968	3.02313e-05
2	-0.653678	1.51352	-0.653644	5.20243e-05
2.1	-0.490304	1.74308	-0.490261	8.88481e-05
2.2	-0.307385	1.90315	-0.307333	0.000169331
2.3	-0.112211	1.98735	-0.112153	0.000525503
2.4	0.0874352	1.99232	0.087499	-0.000728858
2.5	0.283596	1.91786	0.283662	-0.000233212
2.6	0.468451	1.76695	0.468517	-0.000140374
2.7	0.63463	1.5456	0.634693	-9.83553e-05
2.8	0.77551	1.26263	0.775566	-7.22926e-05
2.9	0.885473	0.929327	0.88552	-5.28228e-05
3	0.960136	0.558975	0.96017	-3.62182e-05
3.1	0.996522	0.166339	0.996542	-2.05064e-05
3.2	0.993181	-0.232928	0.993185	-4.2836e-06
3.3	0.950246	-0.622909	0.950233	1.3843e-05
3.4	0.869429	-0.988056	0.869397	3.57551e-05
3.5	0.753951	-1.31381	0.753902	6.46931e-05
3.6	0.608417	-1.5872	0.608351	0.000107533
3.7	0.438628	-1.7973	0.438547	0.000182945
3.8	0.251352	-1.93576	0.25126	0.000367985
3.9	0.0540569	-1.99704	0.0539554	0.00188
4	-0.145393	-1.97871	-0.1455	-0.00073265
4.1	-0.339047	-1.8815	-0.339155	-0.000317074
4.2	-0.519185	-1.70928	-0.519289	-0.000200269
4.3	-0.678624	-1.46892	-0.67872	-0.000141325
4.4	-0.81101	-1.17	-0.811093	-0.000102872
4.5	-0.911063	-0.824436	-0.91113	-7.34103e-05
4.6	-0.974797	-0.446007	-0.974844	-4.79959e-05
4.7	-0.999669	-0.0497968	-0.999693	-2.38537e-05
4.8	-0.984689	0.348398	-0.984688	1.10305e-06
4.9	-0.930453	0.732703	-0.930426	2.9056e-05
5	-0.839124	1.0878	-0.839072	6.3095e-05
5.1	-0.714343	1.39953	-0.714266	0.000108796
5.2	-0.561085	1.65546	-0.560984	0.000178701
5.3	-0.385458	1.8454	-0.385338	0.000310176
5.4	-0.194465	1.96177	-0.19433	0.000692618
5.5	0.00428102	1.99993	0.0044257	-0.0326908
5.6	0.202856	1.95837	0.203005	-0.000734792
5.7	0.393343	1.83873	0.393491	-0.000375273
5.8	0.56815	1.64579	0.56829	-0.000246406
5.9	0.720306	1.38724	0.720432	-0.000175398
6	0.843747	1.07338	0.843854	-0.000126831
6.1	0.933551	0.716739	0.933634	-8.85113e-05
6.2	0.986138	0.331521	0.986192	-5.47976e-05
